variety,country,province,winery,price,points,expert wine description
Cabernet Sauvignon,Chile,Maule Valley,Calina,15.0,90.0,"This Alcance Cab is arguably the best we've had from them to date. The color is deep, the aromas of thyme, sage and cassis are alluring, and the flavors are packed in tight and revolve around exuberant boysenberry and cassis fruit. A real mouthful, with toasty mocha and vanilla on the finish."
Shiraz,Australia,South Australia,Gotham,15.0,90.0,"Mint notes accent blueberry and plum fruit, while hints of tar and black olive add a savory edge. This medium- to full-bodied Shiraz is creamy on the midpalate, but firms up enough on the finish to pair well with burgers or steaks. Drink now–2020."
Red Blend,Spain,Northern Spain,Príncipe de Viana,15.0,90.0,"Bold black-fruit aromas are pure and inviting. ?Overall, this blend of Tempranillo, Cabernet Sauvignon and Merlot is flush in feel, balanced and full of wild berry ?and plum flavors. On the finish, fully present acidity ?supports oak and chocolaty notes. This an exemplary ?large-production Spanish red."
Red Blend,Chile,Colchagua Valley,MontGras,15.0,90.0,"One of the best values in Chilean wine is Quatro, a lusty blend of Cabernet Sauvignon, Malbec, Carmenère and Syrah. The nose is deep and roasted, with aromas of bacon, vanilla, pastry and black fruit. Lush and full in the mouth, with intense blackberry and cassis flavors. A titan at a great price, and ageable over the short term. Drink now through 2013."
Malbec,Argentina,Mendoza Province,Fantelli,15.0,90.0,"Inky, dark, charred and serious, and it only gets better as it opens with air. The palate has a smooth, deep, comfortable feel and the flavors are sweet, fruity, creamy and proper for Malbec. Chocolaty and rich on the finish. A very nice wine made for near-term drinking."
Portuguese White,Portugal,Douro,Manuel Carvalho Martins,15.0,90.0,The wine is richly textured and full of ripe fruits. Crisp acidity contrasts with the warm yellow-fruit and ripe red-apple flavors. It is already a refreshing crisp wine with a fine dense texture. Drink from late 2017.
Cabernet Sauvignon,Moldova,Moldova,Purcari,15.0,90.0,"This wine has aromas of black cherry, vanilla and a touch of graphite. In the mouth there are flavors of cranberry, black cherry and pomegranate. It is well balanced, with rounded tannins and a persistent finish."
Bordeaux-style Red Blend,France,Bordeaux,Château de Parenchère,15.0,90.0,The wine is balanced: it is firm with tannins and rich with berry fruits. It has a fine structure that will stand it in good stead as it matures. Drink from 2019.
Pinot Noir,Austria,Burgenland,Esterházy,15.0,90.0,"A gentle hint of soft and mellow vanilla frames the ripe, red-cherry fruit that appears readily on the nose. The palate discloses that same mix of fruit and oak influence, wrapping fresh cherry, both tart and ripe, in a rounded, smooth cloak of smoky vanilla. Tannins are fine and gentle. This wine is both fresh and fruity, with a bright, fresh finish."
Rosé,France,Rhône Valley,Ferraton Pere et Fils,15.0,90.0,"This is a solid drive, a middle-of-the-fairway rosé. It's medium-pink in hue and medium bodied in style. Peach, berry and melon aroma and flavors end with a refreshing dose of citrus on the finish. Drink now."
Loureiro,Portugal,Vinho Verde,Casa de Vilacetinho,15.0,90.0,"From a series of single variety wines from Vilacetinho, this Loureiro shows the aromatic character that has made this an increasingly popular variety for local producers. It has a delicate perfume, great acidity, and crispness and a very direct apple quality that is deliciously cool."
Portuguese Red,Portugal,Dão,Casa Anadia,15.0,90.0,"A blend that includes Touriga Nacional and Alfrocheiro, this is a well-structured wine. Tannins and black fruits are seamlessly integrated to give weight and richness. The acidity, the mineral texture and the density all contribute to a wine that will be ready to drink from 2018."
Red Blend,US,America,Sokol Blosser,15.0,90.0,"This nonvintage blend is labeled by edition, this being the fourth. The mélange includes Syrah, Sangiovese, Montepulciano and a splash of Evolution white for a wine that's totally unique, and totally cool. Ripe raspberry and cherry-candy flavors also carry a note of fresh mushroom. The wine rolls into a darker, black-cherry component as it comes through the back palate. It delivers big flavors at a budget price."
Rosé,France,Languedoc-Roussillon,Château du Donjon,15.0,90.0,"Made from 40% Grenache, 30% Syrah and 30% Cinsault, this Minervois rosé offers layered, complex scents of orange blossom, peony, ginger and red currant. Flavors of peach and taut currant unfold on the medium-weight palate, with refreshing acidity to lend lift to the mouthfeel and brighten the finish."
Bordeaux-style Red Blend,France,Bordeaux,Château Maison Noble Saint Martin,15.0,90.0,This is a firm wine—one with generous tannins and fruit. It has spice and touches of pepper as well as fine acidity and bold red fruits. The combination has produced a wine that will be ripe and ready to drink from 2019. The property has a history dating back to the 14th century.
Rosé,France,Rhône Valley,Gabriel Meffre,15.0,90.0,"The 2016 rosés from the Southern Rhône provide a glimpse into the superb quality of the vintage. This one boasts notes of crushed stone and lime, then rounds that out with bits of cinnamon or clove and hints of red berries. It's medium in body, with a plump feel and silky texture that lingers through the finish."
Riesling,US,New York,Wagner,15.0,90.0,"Dusty mineral and smoke tones add complexity to fresh lemon and lime aromas on this concentrated, powerful off-dry Riesling. It's lush and silky on the palate, with ripe pineapple and yellow peach flavors. Lime juice acidity jolts the finish."
Red Blend,US,California,Jamieson Ranch,15.0,90.0,"This has fresh oak and ripe boysenberry aromas and flavors. A thick but not harsh texure wraps around the tongue and keeps the flavors lingering on the finish. It's appropriately tannic and appetizingly dry, needing rich food or a drinker who loves this kind of delicious density."
Gamay,France,Beaujolais,Domaine Dubost,15.0,90.0,"This rich and full-bodied wine has spice, black fruits and smoky tannins all bundled together into a ripe structure. It's a complex, concentrated wine with finishing acidity that needs to age, so drink from 2015."
Viognier,US,Washington,Airfield Estates,15.0,90.0,"The aromas pop, with notes of white flowers, pear and ripe peach. It's full bodied in feel, drinking dry with a textured feel and a drawn-out finish—a very pleasing example of the variety."
Rosé,France,Provence,Domaine de Valdition,15.0,90.0,"The wine comes from the Alpilles mountains, made famous by Van Gogh's paintings. It has a tight, steely character that comes from the wild terroir while keeping delicious freshness and acidity. It could age until late 2014."
Pinot Noir,US,California,Murphy-Goode,15.0,90.0,"This has an elegant, fruity, lightly spicy profile. Red cherry and nutmeg aromas meld with fresh and pure fruit flavors like red cherry and raspberry shaded by cinnamon and clove. It also offers a silky-smooth texture and medium body."
Grüner Veltliner,Austria,Weinviertel,Schwarzböck,15.0,90.0,"Ferns, yeast and citrus come together in an appetizing trio of flavor. The palate is fluid and slightly rounded, but still light. There is a zesty, phenolic texture and lots of freshness on the concentrated palate. The finish is clean-cut and lip-smacking."
Rosé,US,Washington,SoDo,15.0,90.0,"This wine is a blend of Grenache, Pinot Noir and Pinot Gris. Salmon colored, it offers light notes of red apple, melon and a hint of strawberry. The flavors are dry and generous, with a broad feel bringing a lot of appeal."
Melon,France,Loire Valley,Bonnet-Huteau,15.0,90.0,"This is a tight, mineral single-vineyard wine coming from layered granite soil. Produced from organic grapes, it is crisp, tangy with lemon zest and light spice flavors and a strongly aromatic aftertaste. Drink this concentrated wine from 2017."
Bordeaux-style Red Blend,France,Bordeaux,Château Rauzan Despagne,15.0,90.0,"This is a finely balanced, if still very structured wine. It has powerful tannins, but also rich, black, juicy fruits that are coming into integration. Solid and concentrated, the wine has great potential and needs to age for at least four years."
Malbec-Cabernet Sauvignon,Argentina,Mendoza Province,Finca Flichman,15.0,90.0,"Chunky plum, berry and toasty campfire aromas are full and thick on this blend of 60% Malbec and 40% Merlot. The palate is stout and meaty, with pronounced but honest tannins. It tastes charred, with ripe berry, prune and chocolate undercurrents. Loses some of its spunk on the finish."
Alvarinho,Portugal,Minho,Quinta da Lixa,15.0,90.0,"An Alvarinho that comes from the southern Minho, close to the Douro River, this is a perfumed, ripe and richly textured wine. Pear and green plum fruits are combined with fine acidity and tangy lemon zest minerality to create a fresh while rich wine. Drink from late 2016."
Riesling,US,New York,Inspire Moore,15.0,90.0,"A cool swathe of pine needles juxtapose ripe peach and waxy floral notes on this fragrant, delightfully layered Riesling. While dry and dainty on the palate, it's chock full of ripe, rich peach and mango flavors. The finish is endlessly long, fringed by a line of dusty minerals. It's refreshingly quaffable but substantial from nose to finish."
Pinot Gris,US,California,Kendall-Jackson,15.0,90.0,"A dynamic balance between ripe, juicy fruit flavors and crisp acidity makes this medium-bodied wine both refreshing and substantive. It smells like a bowl of sliced melons, apples and grapes. After 79% Pinot Gris, the winemaker blends in Roussanne, Grüner Veltliner and a bit of Chardonnay."
Bordeaux-style Red Blend,France,Bordeaux,Château de Tabuteau,15.0,90.0,"This blend of Merlot and Cabernet Franc from just north of Saint-Émilion is still structured and firm. Big tannins and smoky flavors give a dense character. The black fruits still need time to round out and show smoothness. For now decant, or wait until 2017 to drink."
Saperavi,Georgia,Kakheti,Kindzmarauli Marani,15.0,90.0,"The color of dark rubies, this wine has a nose of blackberry, strawberry and aniseed. There is a good balance of acidity and supple tannins, with flavors of blackberry, black cherry, fennel bulb, roasted red pepper and thyme and a smooth bright finish."
Portuguese White,Portugal,Douro,Manuel Carvalho Martins,15.0,90.0,"This is a deliciously ripe and fruity wine. Citrus and apricot and peach flavors are given a lift by a nutty, toasty character. It is rich and full, with minerality and acidity shooting through the attractive aftertaste. Drink now."
